date,state,cases
2020-03-18,Albania,59
2020-03-19,Albania,64
2020-03-20,Albania,70
2020-03-21,Albania,76
2020-03-22,Albania,89
2020-03-23,Albania,104
2020-03-24,Albania,123
2020-03-25,Albania,146
2020-03-26,Albania,174
2020-03-27,Albania,186
2020-03-28,Albania,197
2020-03-29,Albania,212
2020-03-30,Albania,223
2020-03-31,Albania,243
2020-04-01,Albania,259
2020-04-02,Albania,277
2020-04-03,Albania,304
2020-04-04,Albania,333
2020-04-05,Albania,361
2020-04-06,Albania,377
2020-04-07,Albania,383
2020-04-08,Albania,400
2020-04-09,Albania,409
2020-04-10,Albania,416
2020-04-11,Albania,433
2020-04-12,Albania,446
2020-04-13,Albania,467
2020-04-14,Albania,475
2020-04-15,Albania,494
2020-04-16,Albania,518
2020-03-18,Andorra,39
2020-03-19,Andorra,53
2020-03-20,Andorra,75
2020-03-21,Andorra,88
2020-03-22,Andorra,113
2020-03-23,Andorra,133
2020-03-24,Andorra,164
2020-03-25,Andorra,188
2020-03-26,Andorra,224
2020-03-27,Andorra,267
2020-03-28,Andorra,308
2020-03-29,Andorra,334
2020-03-30,Andorra,370
2020-03-31,Andorra,376
2020-04-01,Andorra,390
2020-04-02,Andorra,428
2020-04-03,Andorra,439
2020-04-04,Andorra,466
2020-04-05,Andorra,501
2020-04-06,Andorra,525
2020-04-07,Andorra,545
2020-04-08,Andorra,564
2020-04-09,Andorra,583
2020-04-10,Andorra,601
2020-04-11,Andorra,601
2020-04-12,Andorra,638
2020-04-13,Andorra,646
2020-04-14,Andorra,659
2020-04-15,Andorra,673
2020-04-16,Andorra,673
2020-03-18,Austria,1646
2020-03-19,Austria,2013
2020-03-20,Austria,2388
2020-03-21,Austria,2814
2020-03-22,Austria,3582
2020-03-23,Austria,4474
2020-03-24,Austria,5283
2020-03-25,Austria,5588
2020-03-26,Austria,6909
2020-03-27,Austria,7657
2020-03-28,Austria,8271
2020-03-29,Austria,8788
2020-03-30,Austria,9618
2020-03-31,Austria,10180
2020-04-01,Austria,10711
2020-04-02,Austria,11129
2020-04-03,Austria,11524
2020-04-04,Austria,11781
2020-04-05,Austria,12051
2020-04-06,Austria,12297
2020-04-07,Austria,12639
2020-04-08,Austria,12942
2020-04-09,Austria,13244
2020-04-10,Austria,13555
2020-04-11,Austria,13806
2020-04-12,Austria,13945
2020-04-13,Austria,14041
2020-04-14,Austria,14226
2020-04-15,Austria,14336
2020-04-16,Austria,14476
2020-03-18,Belarus,51
2020-03-19,Belarus,51
2020-03-20,Belarus,69
2020-03-21,Belarus,76
2020-03-22,Belarus,76
2020-03-23,Belarus,81
2020-03-24,Belarus,81
2020-03-25,Belarus,86
2020-03-26,Belarus,86
2020-03-27,Belarus,94
2020-03-28,Belarus,94
2020-03-29,Belarus,94
2020-03-30,Belarus,152
2020-03-31,Belarus,152
2020-04-01,Belarus,163
2020-04-02,Belarus,304
2020-04-03,Belarus,351
2020-04-04,Belarus,440
2020-04-05,Belarus,562
2020-04-06,Belarus,700
2020-04-07,Belarus,861
2020-04-08,Belarus,1066
2020-04-09,Belarus,1486
2020-04-10,Belarus,1981
2020-04-11,Belarus,2226
2020-04-12,Belarus,2578
2020-04-13,Belarus,2919
2020-04-14,Belarus,3281
2020-04-15,Belarus,3728
2020-04-16,Belarus,4204
2020-03-18,Belgium,1486
2020-03-19,Belgium,1795
2020-03-20,Belgium,2257
2020-03-21,Belgium,2815
2020-03-22,Belgium,3401
2020-03-23,Belgium,3743
2020-03-24,Belgium,4269
2020-03-25,Belgium,4937
2020-03-26,Belgium,6235
2020-03-27,Belgium,7284
2020-03-28,Belgium,9134
2020-03-29,Belgium,10836
2020-03-30,Belgium,11899
2020-03-31,Belgium,12775
2020-04-01,Belgium,13964
2020-04-02,Belgium,15348
2020-04-03,Belgium,16770
2020-04-04,Belgium,18431
2020-04-05,Belgium,19691
2020-04-06,Belgium,20814
2020-04-07,Belgium,22194
2020-04-08,Belgium,23403
2020-04-09,Belgium,24983
2020-04-10,Belgium,26667
2020-04-11,Belgium,28018
2020-04-12,Belgium,29647
2020-04-13,Belgium,30589
2020-04-14,Belgium,31119
2020-04-15,Belgium,33573
2020-04-16,Belgium,34809
2020-03-18,Bosnia,38
2020-03-19,Bosnia,63
2020-03-20,Bosnia,89
2020-03-21,Bosnia,93
2020-03-22,Bosnia,126
2020-03-23,Bosnia,136
2020-03-24,Bosnia,166
2020-03-25,Bosnia,176
2020-03-26,Bosnia,191
2020-03-27,Bosnia,237
2020-03-28,Bosnia,258
2020-03-29,Bosnia,323
2020-03-30,Bosnia,368
2020-03-31,Bosnia,420
2020-04-01,Bosnia,459
2020-04-02,Bosnia,533
2020-04-03,Bosnia,579
2020-04-04,Bosnia,624
2020-04-05,Bosnia,654
2020-04-06,Bosnia,674
2020-04-07,Bosnia,764
2020-04-08,Bosnia,804
2020-04-09,Bosnia,858
2020-04-10,Bosnia,901
2020-04-11,Bosnia,946
2020-04-12,Bosnia,1009
2020-04-13,Bosnia,1037
2020-04-14,Bosnia,1083
2020-04-15,Bosnia,1110
2020-04-16,Bosnia,1167
2020-03-18,Bulgaria,92
2020-03-19,Bulgaria,94
2020-03-20,Bulgaria,127
2020-03-21,Bulgaria,163
2020-03-22,Bulgaria,187
2020-03-23,Bulgaria,201
2020-03-24,Bulgaria,218
2020-03-25,Bulgaria,242
2020-03-26,Bulgaria,264
2020-03-27,Bulgaria,293
2020-03-28,Bulgaria,331
2020-03-29,Bulgaria,346
2020-03-30,Bulgaria,359
2020-03-31,Bulgaria,399
2020-04-01,Bulgaria,422
2020-04-02,Bulgaria,457
2020-04-03,Bulgaria,485
2020-04-04,Bulgaria,503
2020-04-05,Bulgaria,531
2020-04-06,Bulgaria,549
2020-04-07,Bulgaria,577
2020-04-08,Bulgaria,593
2020-04-09,Bulgaria,618
2020-04-10,Bulgaria,635
2020-04-11,Bulgaria,661
2020-04-12,Bulgaria,675
2020-04-13,Bulgaria,685
2020-04-14,Bulgaria,713
2020-04-15,Bulgaria,747
2020-04-16,Bulgaria,800
2020-03-18,Croatia,81
2020-03-19,Croatia,105
2020-03-20,Croatia,128
2020-03-21,Croatia,206
2020-03-22,Croatia,254
2020-03-23,Croatia,315
2020-03-24,Croatia,382
2020-03-25,Croatia,442
2020-03-26,Croatia,495
2020-03-27,Croatia,586
2020-03-28,Croatia,657
2020-03-29,Croatia,713
2020-03-30,Croatia,790
2020-03-31,Croatia,867
2020-04-01,Croatia,963
2020-04-02,Croatia,1011
2020-04-03,Croatia,1079
2020-04-04,Croatia,1126
2020-04-05,Croatia,1182
2020-04-06,Croatia,1222
2020-04-07,Croatia,1282
2020-04-08,Croatia,1343
2020-04-09,Croatia,1407
2020-04-10,Croatia,1495
2020-04-11,Croatia,1534
2020-04-12,Croatia,1600
2020-04-13,Croatia,1650
2020-04-14,Croatia,1704
2020-04-15,Croatia,1741
2020-04-16,Croatia,1791
2020-03-18,Czechia,464
2020-03-19,Czechia,694
2020-03-20,Czechia,833
2020-03-21,Czechia,995
2020-03-22,Czechia,1120
2020-03-23,Czechia,1236
2020-03-24,Czechia,1394
2020-03-25,Czechia,1654
2020-03-26,Czechia,1925
2020-03-27,Czechia,2279
2020-03-28,Czechia,2631
2020-03-29,Czechia,2817
2020-03-30,Czechia,3001
2020-03-31,Czechia,3308
2020-04-01,Czechia,3508
2020-04-02,Czechia,3858
2020-04-03,Czechia,4091
2020-04-04,Czechia,4472
2020-04-05,Czechia,4587
2020-04-06,Czechia,4822
2020-04-07,Czechia,5017
2020-04-08,Czechia,5312
2020-04-09,Czechia,5569
2020-04-10,Czechia,5732
2020-04-11,Czechia,5831
2020-04-12,Czechia,5991
2020-04-13,Czechia,6059
2020-04-14,Czechia,6111
2020-04-15,Czechia,6216
2020-04-16,Czechia,6433
2020-03-18,Denmark,1057
2020-03-19,Denmark,1151
2020-03-20,Denmark,1255
2020-03-21,Denmark,1326
2020-03-22,Denmark,1395
2020-03-23,Denmark,1450
2020-03-24,Denmark,1591
2020-03-25,Denmark,1724
2020-03-26,Denmark,1877
2020-03-27,Denmark,2046
2020-03-28,Denmark,2201
2020-03-29,Denmark,2395
2020-03-30,Denmark,2577
2020-03-31,Denmark,2860
2020-04-01,Denmark,3107
2020-04-02,Denmark,3386
2020-04-03,Denmark,3757
2020-04-04,Denmark,4077
2020-04-05,Denmark,4369
2020-04-06,Denmark,4681
2020-04-07,Denmark,5071
2020-04-08,Denmark,5402
2020-04-09,Denmark,5635
2020-04-10,Denmark,5819
2020-04-11,Denmark,5996
2020-04-12,Denmark,6174
2020-04-13,Denmark,6318
2020-04-14,Denmark,6511
2020-04-15,Denmark,6681
2020-04-16,Denmark,6879
2020-03-18,Estonia,258
2020-03-19,Estonia,267
2020-03-20,Estonia,283
2020-03-21,Estonia,306
2020-03-22,Estonia,326
2020-03-23,Estonia,352
2020-03-24,Estonia,369
2020-03-25,Estonia,404
2020-03-26,Estonia,538
2020-03-27,Estonia,575
2020-03-28,Estonia,645
2020-03-29,Estonia,679
2020-03-30,Estonia,715
2020-03-31,Estonia,745
2020-04-01,Estonia,779
2020-04-02,Estonia,858
2020-04-03,Estonia,961
2020-04-04,Estonia,1039
2020-04-05,Estonia,1097
2020-04-06,Estonia,1108
2020-04-07,Estonia,1149
2020-04-08,Estonia,1185
2020-04-09,Estonia,1207
2020-04-10,Estonia,1258
2020-04-11,Estonia,1304
2020-04-12,Estonia,1309
2020-04-13,Estonia,1332
2020-04-14,Estonia,1373
2020-04-15,Estonia,1400
2020-04-16,Estonia,1434
2020-03-18,Finland,336
2020-03-19,Finland,400
2020-03-20,Finland,450
2020-03-21,Finland,523
2020-03-22,Finland,626
2020-03-23,Finland,700
2020-03-24,Finland,792
2020-03-25,Finland,880
2020-03-26,Finland,958
2020-03-27,Finland,1041
2020-03-28,Finland,1167
2020-03-29,Finland,1240
2020-03-30,Finland,1352
2020-03-31,Finland,1418
2020-04-01,Finland,1446
2020-04-02,Finland,1518
2020-04-03,Finland,1615
2020-04-04,Finland,1882
2020-04-05,Finland,1927
2020-04-06,Finland,2176
2020-04-07,Finland,2308
2020-04-08,Finland,2487
2020-04-09,Finland,2605
2020-04-10,Finland,2769
2020-04-11,Finland,2905
2020-04-12,Finland,2974
2020-04-13,Finland,3064
2020-04-14,Finland,3161
2020-04-15,Finland,3237
2020-04-16,Finland,3369
2020-03-18,France,9043
2020-03-19,France,10871
2020-03-20,France,12612
2020-03-21,France,14282
2020-03-22,France,16018
2020-03-23,France,19856
2020-03-24,France,22304
2020-03-25,France,25233
2020-03-26,France,29155
2020-03-27,France,32964
2020-03-28,France,37575
2020-03-29,France,40174
2020-03-30,France,44550
2020-03-31,France,52128
2020-04-01,France,56989
2020-04-02,France,59105
2020-04-03,France,64338
2020-04-04,France,68605
2020-04-05,France,70478
2020-04-06,France,74390
2020-04-07,France,78167
2020-04-08,France,82048
2020-04-09,France,86334
2020-04-10,France,90676
2020-04-11,France,93790
2020-04-12,France,120633
2020-04-13,France,124298
2020-04-14,France,130253
2020-04-15,France,133470
2020-04-16,France,145960
2020-03-18,Germany,12327
2020-03-19,Germany,15320
2020-03-20,Germany,19848
2020-03-21,Germany,22213
2020-03-22,Germany,24873
2020-03-23,Germany,29056
2020-03-24,Germany,32986
2020-03-25,Germany,37323
2020-03-26,Germany,43938
2020-03-27,Germany,50871
2020-03-28,Germany,57695
2020-03-29,Germany,62095
2020-03-30,Germany,66885
2020-03-31,Germany,71808
2020-04-01,Germany,77872
2020-04-02,Germany,84794
2020-04-03,Germany,91159
2020-04-04,Germany,96092
2020-04-05,Germany,100123
2020-04-06,Germany,103374
2020-04-07,Germany,107663
2020-04-08,Germany,113296
2020-04-09,Germany,118181
2020-04-10,Germany,122171
2020-04-11,Germany,124908
2020-04-12,Germany,127854
2020-04-13,Germany,130072
2020-04-14,Germany,131359
2020-04-15,Germany,134753
2020-04-16,Germany,137698
2020-03-18,Greece,418
2020-03-19,Greece,418
2020-03-20,Greece,495
2020-03-21,Greece,530
2020-03-22,Greece,624
2020-03-23,Greece,695
2020-03-24,Greece,743
2020-03-25,Greece,821
2020-03-26,Greece,892
2020-03-27,Greece,966
2020-03-28,Greece,1061
2020-03-29,Greece,1156
2020-03-30,Greece,1212
2020-03-31,Greece,1314
2020-04-01,Greece,1415
2020-04-02,Greece,1544
2020-04-03,Greece,1613
2020-04-04,Greece,1673
2020-04-05,Greece,1735
2020-04-06,Greece,1755
2020-04-07,Greece,1832
2020-04-08,Greece,1884
2020-04-09,Greece,1955
2020-04-10,Greece,2011
2020-04-11,Greece,2081
2020-04-12,Greece,2114
2020-04-13,Greece,2145
2020-04-14,Greece,2170
2020-04-15,Greece,2192
2020-04-16,Greece,2207
2020-03-18,Holy See,1
