date,state,cases
2020-02-26,Romania,1
2020-02-27,Romania,1
2020-02-28,Romania,3
2020-02-29,Romania,3
2020-03-01,Romania,3
2020-03-02,Romania,3
2020-03-03,Romania,4
2020-03-04,Romania,6
2020-03-05,Romania,4
2020-03-06,Romania,6
2020-03-07,Romania,10
2020-03-08,Romania,10
2020-03-09,Romania,12
2020-03-10,Romania,24
2020-03-11,Romania,42
2020-03-12,Romania,53
2020-03-13,Romania,89
2020-03-14,Romania,117
2020-03-15,Romania,130
2020-03-16,Romania,159
2020-03-17,Romania,198
2020-03-18,Romania,241
2020-03-19,Romania,252
2020-03-20,Romania,277
2020-03-21,Romania,315
2020-03-22,Romania,362
2020-03-23,Romania,489
2020-03-24,Romania,667
2020-03-25,Romania,792
2020-03-26,Romania,889
2020-03-27,Romania,1122
2020-03-28,Romania,1244
2020-03-29,Romania,1508
2020-03-30,Romania,1671
2020-03-31,Romania,1903
2020-04-01,Romania,2074
2020-04-02,Romania,2320
2020-04-03,Romania,2732
2020-04-04,Romania,3107
2020-04-05,Romania,3292
2020-04-06,Romania,3429
2020-04-07,Romania,3713
2020-04-08,Romania,3976
2020-04-09,Romania,4273
2020-04-10,Romania,4427
2020-04-11,Romania,4907
2020-04-12,Romania,5110
2020-04-13,Romania,5364
2020-04-14,Romania,5452
2020-04-15,Romania,5606
2020-04-16,Romania,5950
