date,state,cases
2020-05-29,Romania,18982
2020-05-28,Romania,18791
2020-05-27,Romania,18594
2020-05-26,Romania,18429
2020-05-25,Romania,18283
2020-05-24,Romania,18070
2020-05-23,Romania,17857
2020-05-22,Romania,17712
2020-05-21,Romania,17585
2020-05-20,Romania,17387
2020-05-19,Romania,17191
2020-05-18,Romania,17036
2020-05-17,Romania,16871
2020-05-16,Romania,16704
2020-05-15,Romania,16437
2020-05-14,Romania,16247
2020-05-13,Romania,16002
2020-05-12,Romania,15778
2020-05-11,Romania,15588
2020-05-10,Romania,15362
2020-05-09,Romania,15131
2020-05-08,Romania,14811
2020-05-07,Romania,14499
2020-05-06,Romania,14107
2020-05-05,Romania,13837
2020-05-04,Romania,13512
2020-05-03,Romania,13163
2020-05-02,Romania,12732
2020-05-01,Romania,12567
2020-04-30,Romania,12240
2020-04-29,Romania,11978
2020-04-28,Romania,11616
2020-04-27,Romania,11339
2020-04-26,Romania,11036
2020-04-25,Romania,10635
2020-04-24,Romania,10417
2020-04-23,Romania,10096
2020-04-22,Romania,9710
2020-04-21,Romania,9242
2020-04-20,Romania,8936
2020-04-19,Romania,8746
2020-04-18,Romania,8418
2020-04-17,Romania,8067
2020-04-16,Romania,7707
2020-04-15,Romania,7216
2020-04-14,Romania,6879
2020-04-13,Romania,6633
2020-04-12,Romania,6300
2020-04-11,Romania,5990
2020-04-10,Romania,5467
2020-04-09,Romania,5202
2020-04-08,Romania,4761
2020-04-07,Romania,4417
2020-04-06,Romania,4057
2020-04-05,Romania,3864
2020-04-04,Romania,3613
2020-04-03,Romania,3183
2020-04-02,Romania,2738
2020-04-01,Romania,2460
2020-03-31,Romania,2245
2020-03-30,Romania,1952
2020-03-29,Romania,1760
2020-03-28,Romania,1452
2020-03-27,Romania,1292
2020-03-26,Romania,1029
2020-03-25,Romania,906
2020-03-24,Romania,762
2020-03-23,Romania,576
2020-03-22,Romania,433
2020-03-21,Romania,367
2020-03-20,Romania,308
2020-03-19,Romania,277
2020-03-18,Romania,260
2020-03-17,Romania,217
