date,state,cases
2020-04-12,Romania,6300
2020-04-13,Romania,6633
2020-04-14,Romania,6879
2020-04-15,Romania,7216
2020-04-16,Romania,7707
2020-04-17,Romania,8067
2020-04-18,Romania,8418
2020-04-19,Romania,8746
2020-04-20,Romania,8936
2020-04-21,Romania,9242
2020-04-22,Romania,9710
2020-04-23,Romania,10096
2020-04-24,Romania,10417
2020-04-25,Romania,10635
2020-04-26,Romania,11036
2020-04-27,Romania,11339
2020-04-28,Romania,11616
2020-04-29,Romania,11978
2020-04-30,Romania,12240
2020-05-01,Romania,12567
2020-05-02,Romania,12732
2020-05-03,Romania,13163
2020-05-04,Romania,13512
2020-05-05,Romania,13837
2020-05-06,Romania,14107
2020-05-07,Romania,14499
2020-05-08,Romania,14811
2020-05-09,Romania,15131
2020-05-10,Romania,15362
2020-05-11,Romania,15588
