date,state,cases
2020-02-26,Romania,1
2020-02-27,Romania,1
2020-02-28,Romania,3
2020-02-29,Romania,3
2020-03-01,Romania,3
2020-03-02,Romania,3
2020-03-03,Romania,4
2020-03-04,Romania,6
2020-03-05,Romania,4
2020-03-06,Romania,6
2020-03-07,Romania,10
2020-03-08,Romania,10
2020-03-09,Romania,12
2020-03-10,Romania,24
2020-03-11,Romania,42
2020-03-12,Romania,53
2020-03-13,Romania,89
2020-03-14,Romania,117
2020-03-15,Romania,130
2020-03-16,Romania,159
2020-03-17,Romania,198
2020-03-18,Romania,241
2020-03-19,Romania,252
2020-03-20,Romania,277
2020-03-21,Romania,315
2020-03-22,Romania,360
2020-03-23,Romania,486
2020-03-24,Romania,664
2020-03-25,Romania,786
2020-03-26,Romania,883
2020-03-27,Romania,1118
2020-03-28,Romania,1242
2020-03-29,Romania,1507
2020-03-30,Romania,1670
2020-03-31,Romania,1901
2020-04-01,Romania,2070
2020-04-02,Romania,2316
2020-04-03,Romania,2728
2020-04-04,Romania,3103
2020-04-05,Romania,3288
2020-04-06,Romania,3423
2020-04-07,Romania,3707
2020-04-08,Romania,3967
2020-04-09,Romania,4261
2020-04-10,Romania,4412
2020-04-11,Romania,4892
2020-04-12,Romania,5095
2020-04-13,Romania,5347
2020-04-14,Romania,5433
2020-04-15,Romania,5582
2020-04-16,Romania,5919
2020-04-17,Romania,6106
2020-04-18,Romania,6211
2020-04-19,Romania,6357
2020-04-20,Romania,6390
2020-04-21,Romania,6540
2020-04-22,Romania,6736
2020-04-23,Romania,7023
2020-04-24,Romania,6982
2020-04-25,Romania,7097
2020-04-26,Romania,7316
2020-04-27,Romania,7510
2020-04-28,Romania,7500
2020-04-29,Romania,7677
2020-04-30,Romania,7468
2020-05-01,Romania,7458
2020-05-02,Romania,7378
2020-05-03,Romania,7458
2020-05-04,Romania,7392
2020-05-05,Romania,7507
2020-05-06,Romania,7428
2020-05-07,Romania,7440
2020-05-08,Romania,7461
2020-05-09,Romania,7262
2020-05-10,Romania,7333
2020-05-11,Romania,7350
2020-05-12,Romania,7091
