state,date,ML,Low_90,High_90,Low_50,High_50
AB,2020-11-04,0.0,0.0,10.81,0.0,6.01
AB,2020-11-05,7.29,4.89,9.370000000000001,6.33,8.16
AB,2020-11-06,6.29,4.87,7.54,5.64,6.74
AB,2020-11-08,5.08,4.0,6.0200000000000005,4.6000000000000005,5.43
AB,2020-11-09,3.71,2.81,4.54,3.3200000000000003,4.03
AB,2020-11-10,2.9,2.06,3.64,2.5100000000000002,3.16
AB,2020-11-11,2.2800000000000002,1.5,2.98,1.92,2.5300000000000002
AB,2020-11-12,1.55,0.79,2.23,1.23,1.82
AB,2020-11-13,1.07,0.31,1.73,0.72,1.31
AB,2020-11-14,0.66,0.0,1.25,0.32,0.88
AB,2020-11-15,0.04,0.0,0.8200000000000001,0.0,0.34
AB,2020-11-16,0.01,0.0,0.85,0.0,0.34
AB,2020-11-17,0.0,0.0,0.78,0.0,0.29
AB,2020-11-18,0.0,0.0,0.8200000000000001,0.0,0.31
AG,2020-11-04,0.0,0.0,10.81,0.0,6.01
AG,2020-11-05,7.69,5.72,9.44,6.79,8.32
AG,2020-11-06,5.7,4.45,6.79,5.16,6.12
AG,2020-11-08,4.3,3.2800000000000002,5.18,3.85,4.63
AG,2020-11-09,3.16,2.24,3.94,2.74,3.44
AG,2020-11-10,2.46,1.6400000000000001,3.22,2.09,2.74
AG,2020-11-11,2.0,1.19,2.7,1.6400000000000001,2.2600000000000002
AG,2020-11-12,1.68,0.9,2.36,1.33,1.93
AG,2020-11-13,1.58,0.84,2.25,1.25,1.83
AG,2020-11-14,1.45,0.74,2.11,1.1,1.67
AG,2020-11-15,0.77,0.07,1.35,0.44,0.99
AG,2020-11-16,0.52,0.0,1.11,0.18,0.7000000000000001
AG,2020-11-17,0.13,0.0,0.86,0.0,0.37
AG,2020-11-18,0.0,0.0,0.78,0.0,0.3
AR,2020-11-04,0.0,0.0,10.81,0.0,6.01
AR,2020-11-05,8.9,6.88,10.66,8.0,9.57
AR,2020-11-06,6.15,4.9,7.25,5.5600000000000005,6.53
AR,2020-11-08,4.8500000000000005,3.87,5.72,4.42,5.18
AR,2020-11-09,3.7600000000000002,2.92,4.51,3.35,4.01
AR,2020-11-10,2.86,2.1,3.54,2.54,3.13
AR,2020-11-11,2.23,1.53,2.88,1.8800000000000001,2.44
AR,2020-11-12,1.35,0.64,1.97,1.01,1.56
AR,2020-11-13,1.0,0.3,1.62,0.67,1.22
AR,2020-11-14,0.77,0.1,1.36,0.46,1.0
AR,2020-11-15,0.18,0.0,0.85,0.0,0.37
AR,2020-11-16,0.18,0.0,0.88,0.0,0.39
AR,2020-11-17,0.19,0.0,0.93,0.0,0.41000000000000003
AR,2020-11-18,0.15,0.0,0.9400000000000001,0.0,0.4
B,2020-11-04,0.0,0.0,10.81,0.0,6.01
