state,date,ML,Low_90,High_90,Low_50,High_50
Romania_CODE,2020-03-17,0.0,0.0,10.81,0.0,6.01
Romania_CODE,2020-03-18,1.42,0.0,2.94,0.62,1.99
Romania_CODE,2020-03-19,1.61,0.26,2.7800000000000002,0.97,2.07
Romania_CODE,2020-03-20,2.1,0.9,3.12,1.58,2.49
Romania_CODE,2020-03-21,2.59,1.6,3.45,2.15,2.91
Romania_CODE,2020-03-22,2.84,1.99,3.58,2.49,3.14
Romania_CODE,2020-03-23,2.71,1.95,3.36,2.36,2.94
Romania_CODE,2020-03-24,2.58,1.9100000000000001,3.19,2.25,2.7800000000000002
Romania_CODE,2020-03-25,2.23,1.59,2.79,1.9000000000000001,2.4
Romania_CODE,2020-03-26,2.08,1.47,2.62,1.82,2.29
Romania_CODE,2020-03-27,1.85,1.26,2.37,1.56,2.02
Romania_CODE,2020-03-28,1.74,1.16,2.24,1.44,1.8900000000000001
Romania_CODE,2020-03-29,1.61,1.06,2.11,1.3800000000000001,1.81
Romania_CODE,2020-03-30,1.5,0.96,1.99,1.22,1.6500000000000001
Romania_CODE,2020-03-31,1.48,0.96,1.97,1.22,1.6400000000000001
Romania_CODE,2020-04-01,1.6400000000000001,1.1,2.09,1.3800000000000001,1.79
Romania_CODE,2020-04-02,1.56,1.07,2.02,1.34,1.73
Romania_CODE,2020-04-03,1.42,0.9500000000000001,1.8800000000000001,1.17,1.56
Romania_CODE,2020-04-04,1.22,0.71,1.6400000000000001,1.0,1.3800000000000001
Romania_CODE,2020-04-05,1.03,0.54,1.47,0.8300000000000001,1.21
Romania_CODE,2020-04-06,1.01,0.5,1.44,0.76,1.1500000000000001
Romania_CODE,2020-04-07,0.98,0.48,1.42,0.73,1.12
Romania_CODE,2020-04-08,1.23,0.74,1.67,0.97,1.36
Romania_CODE,2020-04-09,1.33,0.85,1.76,1.08,1.46
Romania_CODE,2020-04-10,1.28,0.8200000000000001,1.71,1.05,1.42
Romania_CODE,2020-04-11,1.03,0.56,1.45,0.79,1.16
Romania_CODE,2020-04-12,0.86,0.39,1.29,0.65,1.02
Romania_CODE,2020-04-13,0.85,0.38,1.29,0.61,0.99
Romania_CODE,2020-04-14,0.97,0.48,1.4000000000000001,0.74,1.12
